parameter,value,unit,source,source_type,confidence,notes
Number of cylinders,4,cylinders,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.1, manual page 7-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: '4-stroke-, 4 cylinder flat engine' (OM 915 i A Rev.2, §7.1.1, p.7-2)"
Cylinder arrangement,"Flat / horizontally opposed",,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §1.6 and §7.1.1, manual pages 1-15 and 7-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: '4-cylinder horizontally opposed, turbo-charged engine; 4-cylinder flat engine' (OM 915 i A Rev.2, §§1.6,7.1.1, pp.1-15,7-2)"
Engine cycle,4-stroke,,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.1, manual page 7-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: '4-stroke-, 4 cylinder flat engine' (OM 915 i A Rev.2, §7.1.1, p.7-2)"
Bore,84,mm,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.2, manual page 7-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Bore 84 mm (3.31 in)' (OM 915 i A Rev.2, §7.1.2, p.7-2)"
Stroke,61,mm,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.2, manual page 7-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Stroke 61 mm (2.40 in)' (OM 915 i A Rev.2, §7.1.2, p.7-2)"
Displacement,1352,cm3,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.2, manual page 7-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Displacement 1352 cm3 (82.5 in3)' (OM 915 i A Rev.2, §7.1.2, p.7-2)"
Compression ratio,8.2:1,,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.2, manual page 7-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Compression ratio 8.2:1' (OM 915 i A Rev.2, §7.1.2, p.7-2)"
Maximum takeoff RPM,5800,rpm,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §2.1, manual page 2-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Engine speed 5800 rpm (max. 5 minutes)' (OM 915 i A Rev.2, §2.1, p.2-2)"
Maximum continuous RPM,5500,rpm,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §2.1, manual page 2-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Continuous Performance at engine speed 5500 rpm' (OM 915 i A Rev.2, §2.1, p.2-2)"
Takeoff power,104,kW,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §2.1, manual page 2-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Take-off Performance (engine speed: 5800 rpm) — 104 kW' (OM 915 i A Rev.2, §2.1, p.2-2)"
Continuous power,99,kW,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §2.1, manual page 2-2","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Continuous Performance (engine speed: 5500 rpm) — 99 kW (without governor)' (OM 915 i A Rev.2, §2.1, p.2-2)"
Fuel type,"MOGAS: EN 228 Super / EN 228 Super Plus; AVGAS: AVGAS 100LL (ASTM D910); minimum RON 95 for 915 iSc/iS",,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §2.3, manual pages 2-6 and 2-7","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'MOGAS: EN 228 Super / EN 228 Super Plus; AVGAS: AVGAS 100LL (ASTM D910). 915 iSc/iS minimum RON 95; ASTM D4814 fuel minimum AKI 91.' (OM 915 i A Rev.2, §2.3, pp.2-6–2-7) More precise fuel specification recorded from OM-915 i A Rev.2 §2.3, manual p.2-7."
Fuel injection type,"Electronic fuel injection, ECU controlled",,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.5.3, manual page 7-12","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'The engine is equipped with an electronic fuel injection system. The system is controlled by the ECU.' (OM 915 i A Rev.2, §7.5.3, p.7-12)"
Turbocharger type,"Turbocharged; exact turbocharger model/type not specified in this Operators Manual",,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.1 and §7.6, manual pages 7-2 and 7-13/14","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Turbocharged; electronic/pneumatic control of boost pressure. Air path includes turbocharger and wastegate.' (OM 915 i A Rev.2, §§7.1.1,7.6, pp.7-2,7-13/14)"
Intercooler,Yes,,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.3 and §7.6, manual pages 7-3 and 7-13/14","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Intercooler is listed as an engine component and the turbocharger compressor pushes air through the intercooler into the airbox.' (OM 915 i A Rev.2, §§7.1.3,7.6, pp.7-3,7-13/14)"
Cooling system,"Liquid-cooled cylinder heads with ram-air-cooled cylinders; closed coolant circuit with expansion tank",,"OM 915 i A Rev.2 (OM-915 i A, Part No. 898851), §7.1.1 and §7.2, manual pages 7-2 and 7-5","Official BRP-Rotax manufacturer documentation",HIGH,"Citation: 'Liquid cooled cylinder heads; ram air cooled cylinders. Cylinder-head cooling is a closed circuit with an expansion tank.' (OM 915 i A Rev.2, §§7.1.1,7.2, pp.7-2,7-5)"
