case_no,rpm,p_amb_bar,t_amb_C,throttle_pct,alt_ft,power_kW,fuelflow_kgh,p_plenum_bar,t_plenum_K
1,5800,1.013,0,100,0,104.5083055,33.92,1.5074,277.75
2,5800,0.908,-6,100,2999,104.2914135,33.64,1.4934,271.85
3,5800,0.812,-12,100,5997,104.7614612,33.79,1.5102,266.05
4,5800,0.724,-18,100,8999,104.8299416,33.91,1.5197,260.25
5,5800,0.644,-24,100,11998,104.9284941,33.96,1.5226,254.35
6,5800,0.572,-30,100,15000,105.0191481,34.14,1.5176,248.55
7,5800,0.527,-34,100,17001,104.8183805,34.08,1.4730,244.65
8,5800,0.485,-38,100,18999,102.1415947,33.28,1.3961,240.85
9,5800,0.446,-42,100,21001,96.64806233,31.96,1.3013,237.05
10,5800,0.410,-46,100,22999,89.6052726,30.59,1.2059,233.25
11,5800,1.013,0,99.4,0,101.7111954,32.61,1.4696,277.75
12,5800,0.908,-6,99.4,2999,100.7685431,32.03,1.4461,271.75
13,5800,0.812,-12,99.4,5997,100.1951801,31.70,1.4496,265.95
14,5800,0.724,-18,99.4,8999,99.24247295,31.36,1.4461,260.05
15,5800,0.644,-24,99.4,11998,98.56033027,31.17,1.4444,254.25
16,5800,0.572,-30,99.4,15000,99.4148542,31.58,1.4499,248.35
17,5800,0.527,-34,99.4,17001,100.0682755,31.76,1.4152,244.45
18,5800,0.485,-38,99.4,18999,98.16444326,31.27,1.3472,240.55
19,5800,0.446,-42,99.4,21001,93.3223196,30.26,1.2595,236.75
20,5800,0.410,-46,99.4,22999,86.7846089,29.10,1.1695,232.85
21,5800,1.013,0,98.8,0,98.84053467,31.26,1.4314,277.65
22,5800,0.908,-6,98.8,2999,97.21208274,30.40,1.3998,271.75
23,5800,0.812,-12,98.8,5997,95.62542568,29.65,1.3899,265.95
24,5800,0.724,-18,98.8,8999,93.73580146,28.93,1.3741,260.05
25,5800,0.644,-24,98.8,11998,92.50114367,28.58,1.3685,254.05
26,5800,0.572,-30,98.8,15000,93.98842135,29.14,1.3821,248.15
27,5800,0.527,-34,98.8,17001,95.29615774,29.51,1.3564,244.25
28,5800,0.485,-38,98.8,18999,94.0508842,29.28,1.2970,240.35
29,5800,0.446,-42,98.8,21001,89.83741172,28.55,1.2168,236.45
30,5800,0.410,-46,98.8,22999,83.83159084,27.59,1.1324,232.55
31,5800,1.013,0,97.4,0,91.95403705,28.08,1.3423,277.55
32,5800,0.908,-6,97.4,2999,88.88570136,26.66,1.2956,271.65
33,5800,0.812,-12,97.4,5997,85.15876905,25.13,1.2556,265.75
34,5800,0.724,-18,97.4,8999,81.46476585,23.84,1.2153,259.85
35,5800,0.644,-24,97.4,11998,79.64903214,23.38,1.2031,253.85
36,5800,0.572,-30,97.4,15000,82.15588771,24.13,1.2278,247.95
37,5800,0.527,-34,97.4,17001,84.3470187,24.73,1.2187,244.05
38,5800,0.485,-38,97.4,18999,84.23050385,24.92,1.1781,240.05
39,5800,0.446,-42,97.4,21001,81.33782119,24.69,1.1150,236.05
40,5800,0.410,-46,97.4,22999,76.59343833,24.16,1.0442,232.15
41,5800,1.013,0,94.1,0,74.78971035,21.66,1.1443,277.45
42,5800,0.908,-6,94.1,2999,69.37190323,19.64,1.0748,271.45
43,5800,0.812,-12,94.1,5997,62.98696218,17.64,0.9923,265.55
44,5800,0.724,-18,94.1,8999,57.63396721,16.43,0.9243,259.65
45,5800,0.644,-24,94.1,11998,56.35139229,16.41,0.9062,253.55
46,5800,0.572,-30,94.1,15000,59.31498959,17.19,0.9282,247.55
47,5800,0.527,-34,94.1,17001,61.49758867,17.75,0.9333,243.65
48,5800,0.485,-38,94.1,18999,62.22751192,18.11,0.9185,239.75
49,5800,0.446,-42,94.1,21001,61.14232931,18.22,0.8854,235.75
50,5800,0.410,-46,94.1,22999,58.64288042,18.10,0.8420,231.75
51,5800,1.013,0,84.5,0,44.5109088,13.79,0.8075,277.05
52,5800,0.908,-6,84.5,2999,41.25060557,12.77,0.7477,271.25
53,5800,0.812,-12,84.5,5997,37.95703444,11.88,0.6906,265.15
54,5800,0.724,-18,84.5,8999,33.8489024,11.08,0.6313,259.15
55,5800,0.644,-24,84.5,11998,30.27759929,10.36,0.5792,253.35
56,5800,0.572,-30,84.5,15000,27.74751672,9.70,0.5386,247.45
57,5800,0.527,-34,84.5,17001,26.34189819,9.28,0.5148,243.55
58,5800,0.485,-38,84.5,18999,25.04337168,8.91,0.4929,239.65
59,5800,0.446,-42,84.5,21001,23.80025556,8.61,0.4724,235.85
60,5800,0.410,-46,84.5,22999,22.58526633,8.38,0.4534,232.05
61,5800,1.013,0,72,0,24.52378685,9.62,0.5872,277.15
62,5800,0.908,-6,72,2999,21.81010698,8.77,0.5308,271.25
63,5800,0.812,-12,72,5997,19.41009482,8.01,0.4847,265.25
64,5800,0.724,-18,72,8999,16.96282542,7.33,0.4399,259.35
65,5800,0.644,-24,72,11998,14.41904884,6.75,0.3950,253.45
66,5800,0.572,-30,72,15000,11.78785592,6.25,0.3540,247.65
67,5800,0.527,-34,72,17001,10.03170923,5.94,0.3303,243.55
68,5800,0.485,-38,72,18999,8.428325271,5.65,0.3111,239.55
69,5800,0.446,-42,72,21001,7.085087367,5.42,0.2968,235.55
70,5800,0.410,-46,72,22999,6.039827563,5.25,0.2867,231.55
71,5800,1.013,0,56.5,0,7.693672667,5.78,0.3762,278.35
72,5800,0.908,-6,56.5,2999,4.734707685,5.27,0.3318,272.65
73,5800,0.812,-12,56.5,5997,3.306534463,5.01,0.3029,266.75
74,5800,0.724,-18,56.5,8999,2.497310939,4.88,0.2807,260.65
81,5500,1.013,0,100,0,99.51428558,32.19,1.4348,277.65
82,5500,0.908,-6,100,2999,99.09718562,31.73,1.4189,271.75
83,5500,0.812,-12,100,5997,99.81348163,32.06,1.4376,265.95
84,5500,0.724,-18,100,8999,99.67295046,32.09,1.4456,259.95
85,5500,0.644,-24,100,11998,99.62210712,32.13,1.4512,254.15
86,5500,0.572,-30,100,15000,99.8150346,32.33,1.4461,248.15
87,5500,0.527,-34,100,17001,100.2715364,32.71,1.4062,244.25
88,5500,0.485,-38,100,18999,98.83768869,32.28,1.3378,240.35
89,5500,0.446,-42,100,21001,94.4484313,31.23,1.2471,236.55
90,5500,0.410,-46,100,22999,87.81330811,29.97,1.1500,232.75
91,5500,1.013,0,99.4,0,96.91565234,30.93,1.3999,277.65
92,5500,0.908,-6,99.4,2999,95.88764475,30.19,1.3751,271.75
93,5500,0.812,-12,99.4,5997,95.52897501,29.99,1.3810,265.85
94,5500,0.724,-18,99.4,8999,94.45004826,29.57,1.3769,259.95
95,5500,0.644,-24,99.4,11998,93.73385473,29.36,1.3784,253.95
96,5500,0.572,-30,99.4,15000,94.68463317,29.87,1.3837,248.05
97,5500,0.527,-34,99.4,17001,95.94980072,30.47,1.3532,244.05
98,5500,0.485,-38,99.4,18999,95.18713304,30.34,1.2928,240.15
99,5500,0.446,-42,99.4,21001,91.35747027,29.57,1.2086,236.35
100,5500,0.410,-46,99.4,22999,85.18222973,28.49,1.1164,232.55
101,5500,1.013,0,98.8,0,94.2599442,29.63,1.3651,277.55
102,5500,0.908,-6,98.8,2999,92.64567583,28.63,1.3327,271.75
103,5500,0.812,-12,98.8,5997,91.26273882,27.97,1.3254,265.85
104,5500,0.724,-18,98.8,8999,89.33061847,27.19,1.3098,259.85
105,5500,0.644,-24,98.8,11998,88.14946861,26.83,1.3077,253.85
106,5500,0.572,-30,98.8,15000,89.73508785,27.56,1.3211,247.95
107,5500,0.527,-34,98.8,17001,91.59825083,28.30,1.2989,243.95
108,5500,0.485,-38,98.8,18999,91.36719748,28.40,1.2461,240.05
109,5500,0.446,-42,98.8,21001,88.04919456,27.87,1.1685,236.15
110,5500,0.410,-46,98.8,22999,82.35617938,26.98,1.0817,232.25
111,5500,1.013,0,97.4,0,87.92896963,26.62,1.2849,277.55
112,5500,0.908,-6,97.4,2999,85.0579432,25.09,1.2386,271.65
113,5500,0.812,-12,97.4,5997,81.57165887,23.61,1.2013,265.85
114,5500,0.724,-18,97.4,8999,78.02283433,22.33,1.1624,259.75
115,5500,0.644,-24,97.4,11998,76.37879921,21.90,1.1537,253.65
116,5500,0.572,-30,97.4,15000,78.98841939,22.86,1.1785,247.75
117,5500,0.527,-34,97.4,17001,81.56954466,23.72,1.1714,243.85
118,5500,0.485,-38,97.4,18999,82.11606528,24.13,1.1344,239.85
119,5500,0.446,-42,97.4,21001,79.79483432,24.02,1.0719,235.85
120,5500,0.410,-46,97.4,22999,75.23583207,23.52,0.9981,231.95
121,5500,1.013,0,94.1,0,72.29856754,20.73,1.1081,277.35
122,5500,0.908,-6,94.1,2999,67.34036938,18.74,1.0405,271.45
123,5500,0.812,-12,94.1,5997,61.415535,16.87,0.9616,265.45
124,5500,0.724,-18,94.1,8999,56.49366466,15.84,0.8976,259.55
125,5500,0.644,-24,94.1,11998,55.38485484,15.94,0.8815,253.55
126,5500,0.572,-30,94.1,15000,58.17634027,16.73,0.9025,247.45
127,5500,0.527,-34,94.1,17001,60.26730036,17.26,0.9061,243.55
128,5500,0.485,-38,94.1,18999,60.98149415,17.57,0.8890,239.55
129,5500,0.446,-42,94.1,21001,59.89326719,17.63,0.8525,235.65
130,5500,0.410,-46,94.1,22999,57.34271647,17.46,0.8051,231.65
131,5500,1.013,0,84.5,0,45.28399248,13.73,0.8131,276.95
132,5500,0.908,-6,84.5,2999,42.4180251,12.81,0.7569,271.05
133,5500,0.812,-12,84.5,5997,39.19979037,11.99,0.7019,265.25
134,5500,0.724,-18,84.5,8999,35.28849526,11.25,0.6440,259.35
135,5500,0.644,-24,84.5,11998,31.795046,10.53,0.5896,253.25
136,5500,0.572,-30,84.5,15000,28.94029391,9.76,0.5430,247.35
137,5500,0.527,-34,84.5,17001,27.17767345,9.23,0.5145,243.55
138,5500,0.485,-38,84.5,18999,25.52710037,8.75,0.4878,239.75
139,5500,0.446,-42,84.5,21001,23.98722778,8.35,0.4629,235.85
140,5500,0.410,-46,84.5,22999,22.54098889,8.04,0.4400,232.05
141,5500,1.013,0,72,0,25.75031406,9.59,0.6003,276.95
142,5500,0.908,-6,72,2999,23.26397826,8.77,0.5433,271.05
143,5500,0.812,-12,72,5997,20.88188943,8.03,0.4956,265.15
144,5500,0.724,-18,72,8999,18.37086951,7.35,0.4486,259.25
145,5500,0.644,-24,72,11998,15.82436216,6.75,0.4009,253.25
146,5500,0.572,-30,72,15000,13.19108912,6.22,0.3570,247.35
147,5500,0.527,-34,72,17001,11.39341895,5.89,0.3311,243.45
148,5500,0.485,-38,72,18999,9.707441081,5.59,0.3097,239.35
149,5500,0.446,-42,72,21001,8.245670274,5.33,0.2933,235.35
150,5500,0.410,-46,72,22999,7.064090852,5.13,0.2813,231.35
151,5500,1.013,0,56.5,0,9.025232102,5.73,0.3809,277.55
152,5500,0.908,-6,56.5,2999,6.560585117,5.25,0.3371,271.65
153,5500,0.812,-12,56.5,5997,5.063409499,4.97,0.3063,265.75
154,5500,0.724,-18,56.5,8999,3.862165883,4.77,0.2807,259.85
155,5500,0.644,-24,56.5,11998,2.701900645,4.57,0.2597,254.05
161,5800,1.013,15,100,0,104.3921186,33.95,1.5206,292.75
162,5800,0.908,9,100,2999,104.4389829,33.79,1.5123,287.05
163,5800,0.812,3,100,5997,104.4572142,33.89,1.5093,281.15
164,5800,0.724,-3,100,8999,104.7008665,33.92,1.5145,275.35
165,5800,0.644,-9,100,11998,104.9399824,33.98,1.5149,269.45
166,5800,0.572,-15,100,15000,104.9196626,34.08,1.5268,263.65
167,5800,0.527,-19,100,17001,104.7418887,33.63,1.5098,259.85
168,5800,0.485,-23,100,18999,102.3513851,32.35,1.4602,256.05
169,5800,0.446,-27,100,21001,97.03385755,30.54,1.3870,252.35
170,5800,0.410,-31,100,22999,89.5176104,28.94,1.2949,248.35
171,5800,1.013,15,99.4,0,101.5670874,32.61,1.4831,292.75
172,5800,0.908,9,99.4,2999,100.8450503,32.13,1.4661,286.95
173,5800,0.812,3,99.4,5997,99.90084349,31.74,1.4476,281.15
174,5800,0.724,-3,99.4,8999,98.98569767,31.26,1.4366,275.25
175,5800,0.644,-9,99.4,11998,98.07323986,30.98,1.4215,269.35
176,5800,0.572,-15,99.4,15000,98.7425386,31.26,1.4412,263.45
177,5800,0.527,-19,99.4,17001,99.62390871,31.13,1.4391,259.55
178,5800,0.485,-23,99.4,18999,98.07559319,30.23,1.4020,255.75
179,5800,0.446,-27,99.4,21001,93.45596428,28.81,1.3383,251.95
180,5800,0.410,-31,99.4,22999,86.56728107,27.46,1.2541,248.15
181,5800,1.013,15,98.8,0,98.66200101,31.24,1.4446,292.75
182,5800,0.908,9,98.8,2999,97.22127671,30.45,1.4202,286.95
183,5800,0.812,3,98.8,5997,95.34094409,29.62,1.3872,281.05
184,5800,0.724,-3,98.8,8999,93.37079539,28.73,1.3611,275.05
185,5800,0.644,-9,98.8,11998,91.64992302,28.21,1.3348,269.25
186,5800,0.572,-15,98.8,15000,92.89883603,28.62,1.3599,263.35
187,5800,0.527,-19,98.8,17001,94.54839138,28.73,1.3691,259.35
188,5800,0.485,-23,98.8,18999,93.68885385,28.17,1.3429,255.45
189,5800,0.446,-27,98.8,21001,89.71389996,27.10,1.2882,251.65
190,5800,0.410,-31,98.8,22999,83.45775241,25.98,1.2118,247.75
191,5800,1.013,15,97.4,0,91.67509054,28.02,1.3531,292.75
192,5800,0.908,9,97.4,2999,88.74682778,26.61,1.3150,286.85
193,5800,0.812,3,97.4,5997,84.88907894,24.98,1.2530,280.95
194,5800,0.724,-3,97.4,8999,80.92531519,23.48,1.1973,274.85
195,5800,0.644,-9,97.4,11998,78.3760684,22.75,1.1578,268.95
196,5800,0.572,-15,97.4,15000,80.59162014,23.30,1.1883,263.05
197,5800,0.527,-19,97.4,17001,83.14071473,23.74,1.2125,259.15
198,5800,0.485,-23,97.4,18999,83.3692147,23.75,1.2056,255.15
