time_s,mission_id,mission_type,phase,random_seed,model_version,altitude_ft,altitude_m,ambient_temperature_C,ambient_pressure_hPa,throttle_pct,rpm,power_kW,torque_Nm,fuelflow_kgh,p_plenum_bar,t_plenum_K,coolant_temp_C,EGT1_C,EGT2_C,EGT3_C,EGT4_C,EGT_mean_C,EGT_max_C,EGT_min_C,EGT_spread_C,oil_pressure_bar,oil_temperature_C,battery_voltage_V,battery_soc_pct,generator_A_current_A,generator_B_current_A,generator_voltage_V,generator_power_W,generator_switch_ready,generator_switch_latched,generator_switch_threshold_rpm,generator_switch_hold_time_s,generator_time_above_threshold_s,vibration_amplitude,vibration_frequency_Hz,vibration_1x,vibration_2x,vibration_3x,engine_state_valid,outside_calibrated_envelope,extrapolation_used,health_state_valid,mission_generated_values,stage3_values,stage3_validation_status,stage3_ambient_source,stage4_production_source,ambient_source
0.0,endurance_42,ENDURANCE,TAKEOFF,42,stage5_mission_generator,0.0,0.0,15.0,1013.25,100.0,5800.0,104.3921186,171.8743623623316,33.95,1.5206,292.75,85.62089243784948,588.5919123838711,634.3565700605736,680.1212277372761,725.8858854139786,657.2388988989248,725.8858854139786,588.5919123838711,137.2939730301075,4.253939295225806,79.95881779,14.5,91.0,44.0,42.0,14.5,420.0,True,False,2400.0,8.0,0.0,0.3608842130666667,96.66666666666667,0.3608842130666667,0.21653052784000001,0.14435368522666667,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
10.0,endurance_42,ENDURANCE,TAKEOFF,42,stage5_mission_generator,455.4100022595471,138.80896868870997,14.098288195526097,996.6852423204896,93.22930708456524,5664.586141691305,69.74348035194882,117.57278680695579,20.200510693625883,1.0923651031112418,291.61812500138757,76.21068292049858,509.2251800122302,547.8214117547635,586.4176434972968,625.0138752398301,567.1195276260302,625.0138752398301,509.2251800122302,115.78869522759987,3.870957223140568,74.90288131749368,14.5,91.0,43.0972409446087,41.0972409446087,14.476103436769053,420.0,True,True,2400.0,8.0,10.0,0.348190848824099,94.40976902818842,0.348190848824099,0.2089145092944594,0.1392763395296396,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
20.0,endurance_42,ENDURANCE,TAKEOFF,42,stage5_mission_generator,1007.6222415007612,307.12325920943204,13.004907961828494,976.8943240912037,85.01943141759206,5500.388628351841,44.96042729411812,78.05638543973379,13.692010225836707,0.8015944606107346,290.14889052443607,69.58974177475123,450.80313144128155,484.30536784061053,517.8076042399395,551.3098406392685,501.056486040275,551.3098406392685,450.80313144128155,100.50670919798694,3.5639935595976953,71.35683003787955,14.5,91.0,42.00259085567894,40.00259085567894,14.447127405003267,420.0,True,True,2400.0,8.0,20.0,0.3360813791889982,91.67314380586403,0.3360813791889982,0.20164882751339894,0.13443255167559928,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
30.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1009.413486286361,307.6692306200829,13.001361297153005,976.8306489689801,84.99872950692115,5499.923770415269,44.79415981953047,77.77429929420656,13.620449187993238,0.8008520921915314,290.1393192883413,69.55130821245375,450.4223911560026,483.8936344511727,517.3648777463429,550.836121041513,500.6292560987578,550.836121041513,450.4223911560026,100.4137298855104,3.562596208930903,71.33244591907285,14.5,91.0,41.999390163322154,39.999390163322154,14.447045371249754,420.0,True,True,2400.0,8.0,30.0,0.33602879058669294,91.66539617358782,0.33602879058669294,0.20161727435201576,0.13441151623467718,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
40.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1013.401867189311,308.884889119302,12.993464302965165,976.6888821825613,84.98826546397484,5499.295927838491,44.76413721598179,77.73104562460942,13.612543145140174,0.8004836653806932,290.1312493462219,69.54363948002754,450.34029377418955,483.8052814643459,517.2702691545022,550.7352568446586,500.5377753094241,550.7352568446586,450.34029377418955,100.39496307046903,3.561984259892443,71.32918052197283,14.5,91.0,41.994367422707924,39.994367422707924,14.44693457550091,420.0,True,True,2400.0,8.0,40.0,0.3359948190795857,91.65493213064151,0.3359948190795857,0.20159689144775142,0.1343979276318343,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
50.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1024.3498875313842,312.2218457195659,12.97178722268786,976.2998210128427,84.95954188971648,5497.572513382989,44.68275556468562,77.61405313099347,13.590875217630066,0.7995019139677308,290.10841770437173,69.52295736262461,450.1168743065619,483.56494660856845,517.013018910575,550.4610912125817,500.28898275957175,550.4610912125817,450.1168743065619,100.34421690601977,3.560317988731166,71.32037153979257,14.5,91.0,41.980580107063915,39.980580107063915,14.446630443538174,420.0,True,True,2400.0,8.0,50.0,0.33590176416217465,91.62620855638315,0.33590176416217465,0.20154105849730478,0.13436070566486988,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
60.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1045.1762067227025,318.5697078090798,12.930551110689048,975.560059928069,84.90490129651981,5494.294077791188,44.527943992067605,77.39129677134795,13.549656516856773,0.797634337213758,290.0649852804287,69.48361395942226,449.6918654920928,483.1077598055823,516.5236541190718,549.9395484325613,499.81570696232706,549.9395484325613,449.6918654920928,100.24768294046851,3.5571482563065095,71.30361429337687,14.5,91.0,41.9543526223295,39.9543526223295,14.446051896080798,420.0,True,True,2400.0,8.0,60.0,0.3357247466419497,91.57156796318647,0.3357247466419497,0.2014348479851698,0.13428989865677987,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
70.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1078.2889646518615,328.6624764258874,12.864987849989314,974.3848130741817,84.81802561200703,5489.081536720422,44.28180169098971,77.03657795194843,13.484120939094682,0.7946649878822531,289.99592999864365,69.42106000668669,449.016123712569,482.3808567077946,515.7455897030202,549.1103226982458,499.0632232054074,549.1103226982458,449.016123712569,100.09419898567677,3.552108547584405,71.2769711482764,14.5,91.0,41.91265229376338,39.91265229376338,14.44513203589184,420.0,True,True,2400.0,8.0,70.0,0.33544329804594086,91.4846922786737,0.33544329804594086,0.2012659788275645,0.13417731921837636,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
80.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1125.6130464149717,343.0868565472834,12.771286168098356,972.7071644179281,84.69386464643891,5481.631878786335,43.93002010860117,76.52844997637713,13.390458821096528,0.7904212540667864,289.8972375910717,69.33165916667828,448.05036727230646,481.34198154955,514.6335958267935,547.925210104037,497.98778868817175,547.925210104037,448.05036727230646,99.87484283173052,3.544905898136196,71.23889330589739,14.5,91.0,41.853055030290676,39.853055030290676,14.44381739037406,420.0,True,True,2400.0,8.0,80.0,0.33504105742321383,91.36053131310558,0.33504105742321383,0.2010246344539283,0.13401642296928554,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
90.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1188.6173470446993,362.29056737922434,12.646537652851496,970.4772792385844,84.52856456010464,5471.713873606278,43.46168027511521,75.84981317349315,13.26576297872366,0.7847714142570967,289.7658447381125,69.2126365213233,446.76461999881536,479.95888862205413,513.153157245293,546.3474258685317,496.55602293367355,546.3474258685317,446.76461999881536,99.58280586971631,3.5353167444905513,71.18819886578996,14.5,91.0,41.773710988850226,39.773710988850226,14.442067154165814,420.0,True,True,2400.0,8.0,90.0,0.3345055396027806,91.1952312267713,0.3345055396027806,0.20070332376166836,0.13380221584111227,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
100.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1268.342036239308,386.5906526457411,12.48868276824617,967.661550936305,84.31939633071201,5459.16377984272,43.019591764447156,75.25087308486371,13.150181794756971,0.7797181254629468,289.62164751819114,69.10438684109329,445.4782219876596,478.5810047988286,511.6837876099975,544.7865704211665,495.13239620441306,544.7865704211665,445.4782219876596,99.30834843350692,3.524583898332111,71.14663213271574,14.5,91.0,41.67331023874176,39.67331023874176,14.43985243173695,420.0,True,True,2400.0,8.0,100.0,0.33385657804805524,90.98606299737867,0.33385657804805524,0.20031394682883313,0.1335426312192221,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
110.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1365.4258230916994,416.18179087835,12.296456870278435,964.241667781265,84.06468422077731,5443.881053246639,42.55478593286348,74.64679481995833,13.026001957151912,0.7746925988445938,289.4338449578053,68.99379814350486,444.0676203502366,477.07474921402684,510.081878077817,543.0890069416072,493.5783136459219,543.0890069416072,444.0676203502366,99.02138659137057,3.5122254552858725,71.1070460654172,14.5,91.0,41.55104842597311,39.55104842597311,14.437155479984702,420.0,True,True,2400.0,8.0,110.0,0.33308032090712036,90.73135088744398,0.33308032090712036,0.19984819254427222,0.13323212836284815,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
120.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1480.133220818455,451.1446057054651,12.069336222779459,960.2135934110869,83.76373424501541,5425.8240547009245,42.00560394153629,73.92867263062486,12.879279765078124,0.7687547888426594,289.2119506159516,68.86313428984157,442.4009523276563,475.29506319182116,508.18917405598603,541.0832849201508,491.7421186239036,541.0832849201508,442.4009523276563,98.68233259249456,3.4976235852131303,71.06027394297249,14.5,91.0,41.406592437607394,39.406592437607394,14.433968950829575,420.0,True,True,2400.0,8.0,120.0,0.3321631498789771,90.43040091168207,0.3321631498789771,0.19929788992738626,0.13286525995159085,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
130.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1612.3818114888768,491.4539761418097,11.807484013252024,955.5864626113723,83.41676263772975,5405.005758263785,41.372440380912174,73.09477941994328,12.710120639281762,0.7619089618080754,288.9561239250018,68.71248916284023,440.4794154305613,473.2432254469426,506.00703546332386,538.7708454797051,489.6251304551332,538.7708454797051,440.4794154305613,98.29143004914386,3.48078877964224,71.00634937142298,14.5,91.0,41.240046066110274,39.240046066110274,14.430295133811256,420.0,True,True,2400.0,8.0,130.0,0.3311057239563298,90.0834293043964,0.3311057239563298,0.19866343437379788,0.13244228958253193,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
140.0,endurance_42,ENDURANCE,CLIMB,42,stage5_mission_generator,1761.7695107540296,536.9873468778283,11.511696368707021,950.3814002004459,83.02482432020233,5381.48945921214,40.657220301055986,72.14505536803436,12.519038885712082,0.7541759315725222,288.6671426921746,68.54232077908544,438.3088518377478,470.9254743206816,503.54209680361544,536.1587192865493,487.2337855621485,536.1587192865493,438.3088518377478,97.84986744880149,3.461772222572993,70.94543630129644,14.5,91.0,41.05191567369712,39.05191567369712,14.426145198684495,420.0,True,True,2400.0,8.0,140.0,0.32991125810284266,89.691490986869,0.32991125810284266,0.1979467548617056,0.13196450324113707,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
