time_s,mission_id,mission_type,phase,random_seed,model_version,altitude_ft,altitude_m,ambient_temperature_C,ambient_pressure_hPa,throttle_pct,rpm,power_kW,torque_Nm,fuelflow_kgh,p_plenum_bar,t_plenum_K,coolant_temp_C,EGT1_C,EGT2_C,EGT3_C,EGT4_C,EGT_mean_C,EGT_max_C,EGT_min_C,EGT_spread_C,oil_pressure_bar,oil_temperature_C,battery_voltage_V,battery_soc_pct,generator_A_current_A,generator_B_current_A,generator_voltage_V,generator_power_W,generator_switch_ready,generator_switch_latched,generator_switch_threshold_rpm,generator_switch_hold_time_s,generator_time_above_threshold_s,vibration_amplitude,vibration_frequency_Hz,vibration_1x,vibration_2x,vibration_3x,engine_state_valid,outside_calibrated_envelope,extrapolation_used,health_state_valid,mission_generated_values,stage3_values,stage3_validation_status,stage3_ambient_source,stage4_production_source,ambient_source
0.0,high_altitude_42,HIGH_ALTITUDE,TAKEOFF,42,stage5_mission_generator,575.3983033817951,175.38140287077115,13.860711359304046,992.357577779393,100.0,5800.0,104.40134423900189,171.88955173526608,33.919381135724535,1.5190132418845002,291.66834965393343,85.6901279669763,588.1276453586144,633.8898190015215,679.6519926444286,725.4141662873357,656.770905822975,725.4141662873357,588.1276453586144,137.2865209287213,4.25358252719767,80.13880526921999,14.5,91.0,44.0,42.0,14.5,420.0,True,False,2400.0,8.0,0.0,0.3608859703312385,96.66666666666667,0.3608859703312385,0.21653158219874308,0.1443543881324954,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
10.0,high_altitude_42,HIGH_ALTITUDE,TAKEOFF,42,stage5_mission_generator,1457.2686711836882,444.1754909767882,12.114608031056298,961.015417514739,94.20104208227427,5684.020841645485,71.33178495534293,119.83917538125381,20.418872841357555,1.1107076334052046,289.72238549454545,76.76958553314662,512.2511684404471,551.1740022410143,590.0968360415814,629.0196698421485,570.6354191412978,629.0196698421485,512.2511684404471,116.76850140170131,3.8954558906253705,75.45210393883684,14.5,91.0,43.226805610969905,41.226805610969905,14.479533089702144,420.0,True,True,2400.0,8.0,10.0,0.34936794453220743,94.73368069409142,0.34936794453220743,0.20962076671932445,0.13974717781288298,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
20.0,high_altitude_42,HIGH_ALTITUDE,TAKEOFF,42,stage5_mission_generator,2822.159897589072,860.1943367851492,9.412123402773638,914.0905940403012,85.22586038530186,5504.517207706037,43.836752148717565,76.04847651810908,13.269403609760417,0.7751314147658195,286.68639946307263,69.4557889556731,446.8729708074967,480.1111310859388,513.3492913643809,546.587451642823,496.73021122515985,546.587451642823,446.8729708074967,99.7144808353263,3.553014104290374,71.75151125451929,14.5,91.0,42.030114718040245,40.030114718040245,14.447855977830477,420.0,True,True,2400.0,8.0,20.0,0.33605313189890834,91.74195346176728,0.33605313189890834,0.201631879139345,0.13442125275956335,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
30.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2856.593976123886,870.6898439225605,9.343943927274706,912.9312190597582,84.99989950677839,5499.993970406704,43.060693783848514,74.76359762073518,13.041911721139984,0.766814354233943,286.60488259342844,69.25477723772119,445.0388186959924,478.11956101450335,511.2003033330143,544.2810456515252,494.6599321737588,544.2810456515252,445.0388186959924,99.24222695553283,3.5439453663461435,71.64579083776613,14.5,91.0,41.99995176325363,39.99995176325363,14.447057759483537,420.0,True,True,2400.0,8.0,30.0,0.3357017655795109,91.66656617344506,0.3357017655795109,0.20142105934770654,0.13428070623180438,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
40.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2857.661788004978,871.0153129839174,9.341829659750143,912.8952855116796,84.99866038985242,5499.919623391145,43.05657837379162,74.75746283638212,13.04078874263006,0.7667597299001865,286.60278776010546,69.25377312620192,445.0273580220521,478.1072333761782,511.1871087303042,544.2669840844303,494.6471710532412,544.2669840844303,445.0273580220521,99.23962606237819,3.5438668622564298,71.64550497506548,14.5,91.0,41.99935698712916,39.99935698712916,14.447044639421966,420.0,True,True,2400.0,8.0,40.0,0.3356976360761809,91.66532705651909,0.3356976360761809,0.20141858164570856,0.13427905443047236,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
50.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2860.9838642089203,872.027881810879,9.335251948866338,912.783499750078,84.99480536545477,5499.688321927286,43.04377489589296,74.73837580980036,13.037295037183037,0.7665897877947068,286.5962705110873,69.250649228591,444.9917026478683,478.06888078368866,511.1460589195091,544.2232370553295,494.60746985159886,544.2232370553295,444.9917026478683,99.2315344074612,3.543622627693237,71.64461562583439,14.5,91.0,41.997506575418285,39.997506575418285,14.44700382151658,420.0,True,True,2400.0,8.0,50.0,0.33568478875261226,91.66147203212144,0.33568478875261226,0.20141087325156734,0.13427391550104492,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
60.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2867.740236368324,874.0872240450652,9.321874331990719,912.5561862975688,84.98696509391519,5499.217905634911,43.017735438545365,74.69955204337484,13.030189608900749,0.7662441629385367,286.58301586034526,69.24429590809152,444.9191874607745,477.9908800479351,511.06257263509576,544.1342652222563,494.5267263415154,544.1342652222563,444.9191874607745,99.21507776148184,3.543125908322032,71.64280688515053,14.5,91.0,41.993743245079294,39.993743245079294,14.446920806876749,420.0,True,True,2400.0,8.0,60.0,0.33565866012281775,91.65363176058186,0.33565866012281775,0.20139519607369064,0.13426346404912712,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
70.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2879.0153470756063,877.5238777886449,9.2995496127903,912.1769450996107,84.9738811595939,5498.432869575634,42.97428049594826,74.63474770703894,13.0183319893654,0.7656673802473879,286.5608963484271,69.23369341457867,444.79817329175734,477.86071153292136,510.9232497740854,543.9857880152493,494.39198065350337,543.9857880152493,444.79817329175734,99.187614723492,3.5422969773856288,71.63978843812451,14.5,91.0,41.98746295660507,39.98746295660507,14.446782271101583,420.0,True,True,2400.0,8.0,70.0,0.335615056368227,91.64054782626057,0.335615056368227,0.2013690338209362,0.13424602254729082,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
80.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2895.8005435171235,882.6400056640193,9.266314923836095,911.6126071930815,84.95440317720309,5497.264190632185,42.91003826703224,74.53901935546446,13.000694433238026,0.7648216186826126,286.5276707892096,69.21807013483752,444.61886416858425,477.66788603425186,510.7169078999194,543.7659297655871,494.19239696708564,543.7659297655871,444.61886416858425,99.14706559700284,3.5410688444668095,71.63536222876256,14.5,91.0,41.97811352505748,39.97811352505748,14.446576033640973,420.0,True,True,2400.0,8.0,80.0,0.3355502292007402,91.62106984386975,0.3355502292007402,0.2013301375204441,0.13422009168029608,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
90.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2918.996571107298,889.7101548735045,9.220386789207549,910.8331949866416,84.9274858981285,5495.64915388771,42.82160826751615,74.40726767026678,12.97633200468956,0.7636628404265268,286.4815251999985,69.19660447228341,444.3717260871684,477.4021558950163,510.4325857028642,543.4630155107121,493.9173707989402,543.4630155107121,444.3717260871684,99.09128942354374,3.539376220424441,71.62929777579913,14.5,91.0,41.96519323110168,39.96519323110168,14.446291027156654,420.0,True,True,2400.0,8.0,90.0,0.3354607087378072,91.59415256479517,0.3354607087378072,0.20127642524268433,0.13418428349512287,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
100.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2949.4160671227532,898.9820172590153,9.160156187096948,909.8118841460533,84.89218631675091,5493.531179005055,42.70564030673202,74.23436982059913,12.944382879121592,0.7621432073597549,286.421009425835,69.16845419379302,444.04762680535543,477.0536748078892,510.059722810423,543.0657708129568,493.5566988091561,543.0657708129568,444.04762680535543,99.01814400760134,3.5371564968052867,71.6213447932447,14.5,91.0,41.948249432040434,39.948249432040434,14.445917266883246,420.0,True,True,2400.0,8.0,100.0,0.33534331073270024,91.55885298341758,0.33534331073270024,0.20120598643962015,0.1341373242930801,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
110.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,2987.786054336439,910.6771893617466,9.08418361241385,908.5249644880738,84.84766077676764,5490.859646606058,42.559362762547,74.01609286466395,12.904083475774836,0.7602264004109507,286.34467714604637,69.13294651065492,443.63882038420945,476.6141141113379,509.5894078384664,542.5647015655949,493.10176097490216,542.5647015655949,443.63882038420945,98.92588118138542,3.5343566224470253,71.61131320564809,14.5,91.0,41.926877172848464,39.926877172848464,14.445445819989304,420.0,True,True,2400.0,8.0,110.0,0.3351952293853768,91.5143274434343,0.3351952293853768,0.2011171376312261,0.13407809175415072,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
120.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3034.7504346517658,924.9919324818583,8.991194139389503,906.9517976756463,84.79316207751414,5487.589724650848,42.37892789612696,73.74621131720373,12.856655294037234,0.7579839640378937,286.2504741613886,69.08972897161777,443.13488020951746,476.0725555113887,509.01023081326,541.9479061151312,492.54139316232437,541.9479061151312,443.13488020951746,98.81302590561376,3.5309484157345543,71.59882571933495,14.5,91.0,41.90071779720679,39.90071779720679,14.444868774938385,420.0,True,True,2400.0,8.0,120.0,0.3350137143514076,91.45982874418081,0.3350137143514076,0.20100822861084455,0.13400548574056304,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
130.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3090.8724827367323,942.097932738156,8.88007248418127,905.0747698762926,84.72803658028545,5483.682194817127,42.16076429637902,73.4188503700272,12.8008849603219,0.7553243348211948,286.13696387905753,69.0376545972701,442.5265913526046,475.4189202851247,508.3112492176449,541.2035781501651,491.8650847513848,541.2035781501651,442.5265913526046,98.67698679756046,3.526866269257701,71.58352146309834,14.5,91.0,41.86945755853702,39.86945755853702,14.44417921085008,420.0,True,True,2400.0,8.0,130.0,0.33479632053750963,91.39470324695212,0.33479632053750963,0.20087779232250577,0.13391852821500386,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
140.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3156.637339658057,962.1430611277758,8.749858067477046,902.8792378957268,84.65172131465775,5479.103278879465,41.90565560875716,73.03558879077337,12.734777131415274,0.7521688973636227,286.0017929464786,68.97654547361175,441.8140609611935,474.6532461509856,507.4924313407777,540.3316165305698,491.07283874588165,540.3316165305698,441.8140609611935,98.51755556937633,3.5220757951220545,71.56566857154343,14.5,91.0,41.83282623103572,39.83282623103572,14.443371166861082,420.0,True,True,2400.0,8.0,140.0,0.3345416771893392,91.3183879813244,0.3345416771893392,0.20072500631360352,0.13381667087573568,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
150.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3232.454506515309,985.2521335858662,8.599740077099689,900.3534676298044,84.56374108480986,5473.824465088592,41.6116677582536,72.59314933749731,12.658403893896786,0.7485228807528882,285.84550175501687,68.90607708126325,440.9926769113056,473.77059393260146,506.5485109538973,539.3264279751932,490.15955244324937,539.3264279751932,440.9926769113056,98.33375106388758,3.516551609450321,71.54510404256041,14.5,91.0,41.79059572070874,39.79059572070874,14.442439611486222,420.0,True,True,2400.0,8.0,150.0,0.33424813288293975,91.23040775147653,0.33424813288293975,0.20054887972976385,0.1336992531531759,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
160.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3318.6603380750366,1011.5276710452712,8.429052530611427,897.4885639897432,84.46370557584483,5467.822334550689,41.3220231198474,72.16698534468809,12.582614727506062,0.7448997901739111,285.66930740710535,68.83800001597376,440.15756613411145,472.8749601578095,505.5923541815075,538.3097482052056,489.2336571696585,538.3097482052056,440.15756613411145,98.1521820710941,3.5106603343178553,71.52841563691561,14.5,91.0,41.742578676405515,39.742578676405515,14.441380411979534,420.0,True,True,2400.0,8.0,160.0,0.3339228666014186,91.13037224251148,0.3339228666014186,0.20035371996085116,0.13356914664056746,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
170.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3415.520536404898,1041.050659496213,8.237269337918303,894.2783917474292,84.35130646011135,5461.078387606681,41.0846405412183,71.84101560008058,12.519261222080178,0.7418599766376559,285.47432093974385,68.78528141161857,439.4142443643283,472.0816715614142,504.7490987585001,537.416525955586,488.41538515995717,537.416525955586,439.4142443643283,98.00228159125777,3.504810223611414,71.52287365568283,14.5,91.0,41.688627100853445,39.688627100853445,14.440190303695296,420.0,True,True,2400.0,8.0,170.0,0.3335741732596756,91.01797312677802,0.3335741732596756,0.20014450395580535,0.13342966930387024,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
180.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3523.2326445077947,1073.8813100459759,8.023999363874566,890.7194870187983,84.22631450352539,5453.578870211522,40.82066237049471,71.47757849843923,12.448809790606843,0.7384795920227628,285.25748880628566,68.7266563818411,438.5876431782615,471.1995054237739,503.8113676692863,536.4232299147988,487.5054365465301,536.4232299147988,438.5876431782615,97.83558673653727,3.498304685034255,71.51671076842943,14.5,91.0,41.62863096169218,39.62863096169218,14.438866859449092,420.0,True,True,2400.0,8.0,180.0,0.33318641342056515,90.89298117019204,0.33318641342056515,0.19991184805233908,0.13327456536822607,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
190.0,high_altitude_42,HIGH_ALTITUDE,CLIMB,42,stage5_mission_generator,3641.9285399559963,1110.0598189785878,7.788981490887127,886.810959352826,84.08857667189162,5445.314600313497,40.529765405383934,71.07592100831471,12.371174175710628,0.7347544975473971,285.01854552779946,68.66205314894856,437.6767505248097,470.2273816627083,502.778012800607,535.3286439385056,486.50269723165763,535.3286439385056,437.6767505248097,97.65189341369592,3.4911357535149596,71.50991942960994,14.5,91.0,41.56251680250798,39.56251680250798,14.437408458878853,420.0,True,True,2400.0,8.0,190.0,0.3327591123294186,90.75524333855829,0.3327591123294186,0.19965546739765117,0.13310364493176746,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
