time_s,mission_id,mission_type,phase,random_seed,model_version,altitude_ft,altitude_m,ambient_temperature_C,ambient_pressure_hPa,throttle_pct,rpm,power_kW,torque_Nm,fuelflow_kgh,p_plenum_bar,t_plenum_K,coolant_temp_C,EGT1_C,EGT2_C,EGT3_C,EGT4_C,EGT_mean_C,EGT_max_C,EGT_min_C,EGT_spread_C,oil_pressure_bar,oil_temperature_C,battery_voltage_V,battery_soc_pct,generator_A_current_A,generator_B_current_A,generator_voltage_V,generator_power_W,generator_switch_ready,generator_switch_latched,generator_switch_threshold_rpm,generator_switch_hold_time_s,generator_time_above_threshold_s,vibration_amplitude,vibration_frequency_Hz,vibration_1x,vibration_2x,vibration_3x,engine_state_valid,outside_calibrated_envelope,extrapolation_used,health_state_valid,mission_generated_values,stage3_values,stage3_validation_status,stage3_ambient_source,stage4_production_source,ambient_source
0.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,575.3983033817951,175.38140287077115,13.860711359304046,992.357577779393,100.0,5800.0,104.40134423900189,171.88955173526608,33.919381135724535,1.5190132418845002,291.66834965393343,85.6901279669763,588.1276453586144,633.8898190015215,679.6519926444286,725.4141662873357,656.770905822975,725.4141662873357,588.1276453586144,137.2865209287213,4.25358252719767,80.13880526921999,14.5,91.0,44.0,42.0,14.5,420.0,True,False,2400.0,8.0,0.0,0.3608859703312385,96.66666666666667,0.3608859703312385,0.21653158219874308,0.1443543881324954,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
10.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,575.3983033817951,175.38140287077115,13.860711359304046,992.357577779393,100.0,5800.0,104.40134423900189,171.88955173526608,33.919381135724535,1.5190132418845002,291.66834965393343,85.6901279669763,588.1276453586144,633.8898190015215,679.6519926444286,725.4141662873357,656.770905822975,725.4141662873357,588.1276453586144,137.2865209287213,4.25358252719767,80.13880526921999,14.5,91.0,44.0,42.0,14.5,420.0,True,True,2400.0,8.0,10.0,0.3608859703312385,96.66666666666667,0.3608859703312385,0.21653158219874308,0.1443543881324954,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
20.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,575.3983033817951,175.38140287077115,13.860711359304046,992.357577779393,100.0,5800.0,104.40134423900189,171.88955173526608,33.919381135724535,1.5190132418845002,291.66834965393343,85.6901279669763,588.1276453586144,633.8898190015215,679.6519926444286,725.4141662873357,656.770905822975,725.4141662873357,588.1276453586144,137.2865209287213,4.25358252719767,80.13880526921999,14.5,91.0,44.0,42.0,14.5,420.0,True,True,2400.0,8.0,20.0,0.3608859703312385,96.66666666666667,0.3608859703312385,0.21653158219874308,0.1443543881324954,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
30.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,575.3983033817951,175.38140287077115,13.860711359304046,992.357577779393,100.0,5800.0,104.40134423900189,171.88955173526608,33.919381135724535,1.5190132418845002,291.66834965393343,85.6901279669763,588.1276453586144,633.8898190015215,679.6519926444286,725.4141662873357,656.770905822975,725.4141662873357,588.1276453586144,137.2865209287213,4.25358252719767,80.13880526921999,14.5,91.0,44.0,42.0,14.5,420.0,True,True,2400.0,8.0,30.0,0.3608859703312385,96.66666666666667,0.3608859703312385,0.21653158219874308,0.1443543881324954,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
40.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,575.3983033817951,175.38140287077115,13.860711359304046,992.357577779393,100.0,5800.0,104.40134423900189,171.88955173526608,33.919381135724535,1.5190132418845002,291.66834965393343,85.6901279669763,588.1276453586144,633.8898190015215,679.6519926444286,725.4141662873357,656.770905822975,725.4141662873357,588.1276453586144,137.2865209287213,4.25358252719767,80.13880526921999,14.5,91.0,44.0,42.0,14.5,420.0,True,True,2400.0,8.0,40.0,0.3608859703312385,96.66666666666667,0.3608859703312385,0.21653158219874308,0.1443543881324954,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
50.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,575.3983033817951,175.38140287077115,13.860711359304046,992.357577779393,100.0,5800.0,104.40134423900189,171.88955173526608,33.919381135724535,1.5190132418845002,291.66834965393343,85.6901279669763,588.1276453586144,633.8898190015215,679.6519926444286,725.4141662873357,656.770905822975,725.4141662873357,588.1276453586144,137.2865209287213,4.25358252719767,80.13880526921999,14.5,91.0,44.0,42.0,14.5,420.0,True,True,2400.0,8.0,50.0,0.3608859703312385,96.66666666666667,0.3608859703312385,0.21653158219874308,0.1443543881324954,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
60.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,576.2051636654475,175.62733388522838,13.859113775942413,992.3285280287788,100.0,5799.415336436285,104.39118759856038,171.8901567593575,33.915849707398884,1.5188580298649974,291.66702778252767,85.68730467475406,588.0931555144809,633.8530967622202,679.6130380099593,725.3729792576985,656.7330673860897,725.3729792576985,588.0931555144809,137.27982374321755,4.253162869577537,80.13753222258582,14.5,91.0,43.99610224290856,41.99610224290856,14.499896824076991,420.0,True,True,2400.0,8.0,60.0,0.360857725872692,96.65692227393808,0.360857725872692,0.2165146355236152,0.1443430903490768,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
70.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,582.0877831532006,177.42035630509554,13.847466189356663,992.1167542665542,100.0,5795.152698476061,104.31713803607504,171.89457153051578,33.89010293375172,1.5177264172808111,291.65739034386644,85.66672074692566,587.8416985604827,633.5853639651981,679.3290293699134,725.0726947746289,656.4571966675558,725.0726947746289,587.8416985604827,137.23099621414622,4.250103249288371,80.12825075330201,14.5,91.0,43.967684656507075,41.967684656507075,14.499144593848717,420.0,True,True,2400.0,8.0,70.0,0.3606518024859133,96.58587830793435,0.3606518024859133,0.21639108149154795,0.14426072099436532,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
80.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,596.5567591179935,181.83050017916443,13.818817616946372,991.5960281582373,100.0,5784.66825250408,104.13500466130311,171.90545784785016,33.8267757969469,1.5149430866036981,291.6336859603614,85.6160922203603,587.2232113999314,632.926844505769,678.6304776116068,724.3341107174444,655.7786610586879,724.3341107174444,587.2232113999314,137.11089931751303,4.2425777629778105,80.1054219172257,14.5,91.0,43.8977883500272,41.8977883500272,14.49729439750072,420.0,True,True,2400.0,8.0,80.0,0.36014531034578895,96.41113754173466,0.36014531034578895,0.21608718620747336,0.1440581241383156,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
90.0,high_power_42,HIGH_POWER,TAKEOFF,42,stage5_mission_generator,621.0653057534605,189.30070519365478,13.770290694608148,990.7144913991846,100.0,5766.908976818183,103.8264946243568,171.9239881516666,33.71950793711712,1.5102284896710652,291.59353384524206,85.53033413993828,586.1755753091194,631.8113989537791,677.4472225984388,723.0830462430985,654.6293107761089,723.0830462430985,586.1755753091194,136.90747093397908,4.229830576677568,80.0667528645594,14.5,91.0,43.779393178787885,41.779393178787885,14.494160407673798,420.0,True,True,2400.0,8.0,90.0,0.3592873791233624,96.11514961363638,0.3592873791233624,0.21557242747401742,0.14371495164934497,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
