time_s,mission_id,mission_type,phase,random_seed,model_version,altitude_ft,altitude_m,ambient_temperature_C,ambient_pressure_hPa,throttle_pct,rpm,power_kW,torque_Nm,fuelflow_kgh,p_plenum_bar,t_plenum_K,coolant_temp_C,EGT1_C,EGT2_C,EGT3_C,EGT4_C,EGT_mean_C,EGT_max_C,EGT_min_C,EGT_spread_C,oil_pressure_bar,oil_temperature_C,battery_voltage_V,battery_soc_pct,generator_A_current_A,generator_B_current_A,generator_voltage_V,generator_power_W,generator_switch_ready,generator_switch_latched,generator_switch_threshold_rpm,generator_switch_hold_time_s,generator_time_above_threshold_s,vibration_amplitude,vibration_frequency_Hz,vibration_1x,vibration_2x,vibration_3x,engine_state_valid,outside_calibrated_envelope,extrapolation_used,health_state_valid,mission_generated_values,stage3_values,stage3_validation_status,stage3_ambient_source,stage4_production_source,ambient_source
0.0,normal_mission_validation,NORMAL,TAKEOFF,42,stage5_mission_generator,0.0,0.0,15.0,1013.25,100.0,5800.0,104.3921186,171.8743623623316,33.95,1.5206,292.75,85.62089243784948,588.5919123838711,634.3565700605736,680.1212277372761,725.8858854139786,657.2388988989248,725.8858854139786,588.5919123838711,137.2939730301075,4.253939295225806,79.95881779,14.5,91.0,44.0,42.0,14.5,420.0,True,False,2400.0,8.0,0.0,0.3608842130666667,96.66666666666667,0.3608842130666667,0.21653052784000001,0.14435368522666667,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
10.0,normal_mission_validation,NORMAL,TAKEOFF,42,stage5_mission_generator,693.6015354471663,211.4097480042963,13.62666895981461,988.1091864324156,93.06398464552834,5661.279692910567,68.82349344091827,116.08964519832797,19.906270111438275,1.081779620466481,291.14583758720426,75.9945397382074,506.92356248040886,545.3315135682376,583.7394646560665,622.1474157438952,564.535489112152,622.1474157438952,506.92356248040886,115.22385326348632,3.8611498707914182,74.83881793274054,14.5,91.0,43.07519795273711,41.07519795273711,14.475519945807747,420.0,True,True,2400.0,8.0,10.0,0.3478668230268648,94.35466154850945,0.3478668230268648,0.20872009381611886,0.13914672921074592,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
20.0,normal_mission_validation,NORMAL,TAKEOFF,42,stage5_mission_generator,1499.0867763117187,456.9216494198119,12.031808182902797,959.5493325016732,85.0091322368828,5500.182644737656,44.46925693716973,77.20654946554087,13.5304961677029,0.7921808368985037,289.2080305048298,69.50272359243908,449.3002107642872,482.69237343917746,516.0845361140676,549.4766987889578,499.38845477662255,549.4766987889578,449.3002107642872,100.17648802467062,3.558644258607585,71.43570507594261,14.5,91.0,42.001217631584375,40.001217631584375,14.447091054953704,420.0,True,True,2400.0,8.0,20.0,0.33597855366789353,91.6697107456276,0.33597855366789353,0.20158713220073612,0.1343914214671574,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
30.0,normal_mission_validation,NORMAL,CLIMB,42,stage5_mission_generator,1500.588123630896,457.3792600826971,12.028835515210826,959.496731035495,84.998962134769,5499.937728086141,44.33302535148671,76.97345470887024,13.4665632327707,0.7917990732052022,289.1994914200027,69.47240641514183,448.990343524884,482.3577100441397,515.7250765633954,549.0924430826511,499.04139330376756,549.0924430826511,448.990343524884,100.10209955776713,3.557632568582561,71.41573635629803,14.5,91.0,41.999501824689126,39.999501824689126,14.447047834368142,420.0,True,True,2400.0,8.0,30.0,0.33594158354511194,91.66562880143569,0.33594158354511194,0.20156495012706716,0.1343766334180448,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
40.0,normal_mission_validation,NORMAL,CLIMB,42,stage5_mission_generator,1505.2088805688854,458.7876667973963,12.019686416473608,959.334852042315,84.99080785781962,5499.448471469177,44.30820491388144,76.93720417410073,13.459927824853388,0.7914839878225831,289.19031007626165,69.46618593867488,448.92194719772607,482.28411794055114,515.6462886833762,549.0084594262012,498.96520331196365,549.0084594262012,448.92194719772607,100.0865122284751,3.557140334014396,71.4134475736108,14.5,91.0,41.995587771753414,39.995587771753414,14.44696149496515,420.0,True,True,2400.0,8.0,40.0,0.33591483929494753,91.65747452448629,0.33591483929494753,0.2015489035769685,0.13436593571797903,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
50.0,normal_mission_validation,NORMAL,CLIMB,42,stage5_mission_generator,1517.7688508678445,462.615945744519,11.994817675281668,958.8949503102158,84.96864320435087,5498.118592261052,44.24124534071515,76.8395162784635,13.441908421357855,0.7906420777198755,289.1650193589371,69.44945883945864,448.73698698196847,482.085160711595,515.4333344412215,548.781508170848,498.75924757640826,548.781508170848,448.73698698196847,100.04452118887957,3.555809007194269,71.40730225241664,14.5,91.0,41.98494873808842,39.98494873808842,14.44672681039901,420.0,True,True,2400.0,8.0,50.0,0.3358422405261693,91.63530987101754,0.3358422405261693,0.20150534431570158,0.1343368962104677,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
60.0,normal_mission_validation,NORMAL,CLIMB,42,stage5_mission_generator,1541.6281330140814,469.888254942692,11.94757629663212,958.0597501317899,84.92653858879868,5495.592315327921,44.114605691208965,76.65478611347996,13.407696684075212,0.7890588053169272,289.1166075470401,69.41788342694358,448.38668163486125,481.70840518769444,515.0301287405275,548.3518522933607,498.369266964111,548.3518522933607,448.38668163486125,99.96517065849946,3.5532873133144443,71.39571222616892,14.5,91.0,41.964738522623364,39.964738522623364,14.446280996822574,420.0,True,True,2400.0,8.0,60.0,0.33570443622617724,91.59320525546535,0.33570443622617724,0.20142266173570633,0.1342817744904709,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
70.0,normal_mission_validation,NORMAL,CLIMB,42,stage5_mission_generator,1579.6248609669258,481.469657622719,11.872342775285487,956.7308811891271,84.85948553947013,5491.569132368208,43.91292769097256,76.36024610664936,13.353213315030196,0.7865373895257335,289.0395100704654,69.36759849582204,447.82880831357363,481.10840904956075,514.3880097855479,547.667610521535,497.74820941755434,547.667610521535,447.82880831357363,99.83880220796141,3.5492714290248513,71.37725471049002,14.5,91.0,41.93255305894566,39.93255305894566,14.445571023359095,420.0,True,True,2400.0,8.0,70.0,0.33548497813580225,91.5261522061368,0.33548497813580225,0.20129098688148134,0.1341939912543209,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
80.0,normal_mission_validation,NORMAL,CLIMB,42,stage5_mission_generator,1634.1001830999937,498.0737358088781,11.764481637462012,954.8283064513072,84.76335261805883,5485.80115708353,43.6237850562787,75.93721495851214,13.275101350144542,0.782922474640769,288.928976608814,69.29550576655635,447.0289939473393,480.24820385126094,513.4674137551825,546.6866236591042,496.85780880322176,546.6866236591042,447.0289939473393,99.65762971176486,3.54351391773082,71.35079245527605,14.5,91.0,41.88640925666824,39.88640925666824,14.444553145367681,420.0,True,True,2400.0,8.0,80.0,0.335170344460431,91.43001928472549,0.335170344460431,0.20110220667625858,0.1340681377841724,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
90.0,normal_mission_validation,NORMAL,CLIMB,42,stage5_mission_generator,1706.9232411424507,520.270203900219,11.620291982537948,952.2897152721772,84.63484133916037,5478.090480349623,43.237256807442925,75.37031202375162,13.170680633938716,0.7780900267326452,288.7812145694486,69.19913161396433,445.95979553354766,479.09827447716407,512.2367534207805,545.3752323643969,495.66751394897227,545.3752323643969,445.95979553354766,99.41543683084922,3.535817229345552,71.31541749516705,14.5,91.0,41.824723842796985,39.824723842796985,14.443192437708756,420.0,True,True,2400.0,8.0,90.0,0.3347497395790555,91.30150800582706,0.3347497395790555,0.2008498437474333,0.1338998958316222,True,False,False,True,python_mission_generator,csv_authoritative,validated_csv,explicit_input,calibrated_csv,python_generated_isa_plus_offset
